iter	Logloss
0	0.6443392623
1	0.6086617676
2	0.5811328455
3	0.5590296013
4	0.5385753796
5	0.5214778396
6	0.507804678
7	0.4946019242
8	0.4829245023
9	0.4727953672
10	0.4639492971
11	0.4567426507
12	0.4490042418
13	0.4354059883
14	0.4282722909
15	0.4202627745
16	0.4133887338
17	0.4081421758
18	0.4045025588
19	0.3995032513
20	0.3971842925
21	0.3925923166
22	0.38836844
23	0.3842637811
24	0.3789238654
25	0.3733874104
26	0.3680836917
27	0.3664258435
28	0.3633946196
29	0.3579213256
30	0.3544109062
31	0.3526183949
32	0.3457633841
33	0.3437934315
34	0.3402984904
35	0.3393426442
36	0.3376164834
37	0.3334387571
38	0.3292330746
39	0.3256397289
40	0.320836638
41	0.3193156117
42	0.3160586808
43	0.3114585803
44	0.307698514
45	0.3055005367
46	0.303249197
47	0.30039453
48	0.2983167101
49	0.296554871
