iter	Passed	Remaining
0	19	946
1	41	987
2	62	974
3	83	958
4	103	934
5	132	971
6	153	941
7	173	912
8	195	890
9	216	867
10	237	841
11	258	818
12	278	793
13	300	772
14	320	748
15	341	725
16	361	702
17	382	680
18	403	658
19	426	639
20	446	616
21	467	594
22	488	573
23	509	551
24	529	529
25	553	511
26	574	489
27	594	467
28	614	444
29	636	424
30	658	403
31	678	381
32	699	360
33	719	338
34	739	316
35	759	295
36	779	273
37	801	253
38	822	231
39	843	210
40	864	189
41	886	168
42	907	147
43	928	126
44	950	105
45	971	84
46	992	63
47	1011	42
48	1033	21
49	1055	0
